Country,wvs_region
Albania,african.islamic
Algeria,african.islamic
Andorra,catholic.europe
Argentina,latin.america
Armenia,orthodox
Australia,english.speaking
Austria,catholic.europe
Azerbaijan,african.islamic
Bahrain,african.islamic
Bangladesh,south.asia
Belarus,orthodox
Belgium,catholic.europe
Bosnia,orthodox
Brazil,latin.america
Bulgaria,orthodox
Burkina Faso,african.islamic
Canada,english.speaking
Chile,latin.america
China,confucian
Colombia,latin.america
Croatia,catholic.europe
Cyprus (G),catholic.europe
Cyprus (T),catholic.europe
Czech Rep.,catholic.europe
Denmark,protestant.europe
Dominican Rep.,latin.america
Ecuador,latin.america
Egypt,african.islamic
El Salvador,latin.america
Estonia,baltic
Ethiopia,african.islamic
Finland,protestant.europe
France,catholic.europe
Georgia,orthodox
Germany,protestant.europe
Ghana,african.islamic
Great Britain,english.speaking
Greece,catholic.europe
Guatemala,latin.america
Hong Kong,confucian
Hungary,catholic.europe
Iceland,protestant.europe
India,south.asia
Indonesia,south.asia
Iran,african.islamic
Iraq,african.islamic
Ireland,english.speaking
Israel,african.islamic
Italy,catholic.europe
Japan,confucian
Jordan,african.islamic
Kazakhstan,african.islamic
Kosovo,african.islamic
Kuwait,african.islamic
Kyrgyzstan,african.islamic
Latvia,baltic
Lebanon,african.islamic
Libya,african.islamic
Lithuania,baltic
Luxembourg,catholic.europe
Macedonia,orthodox
Malaysia,south.asia
Mali,african.islamic
Malta,catholic.europe
Mexico,latin.america
Moldova,orthodox
Morocco,african.islamic
Netherlands,protestant.europe
New Zealand,english.speaking
Nigeria,african.islamic
North Ireland,english.speaking
Norway,protestant.europe
Pakistan,african.islamic
Palestine,african.islamic
Peru,latin.america
Philippines,south.asia
Poland,catholic.europe
Portugal,catholic.europe
Puerto Rico,latin.america
Qatar,african.islamic
Romania,orthodox
Russia,orthodox
Rwanda,african.islamic
Saudi Arabia,african.islamic
Serbia and Montenegro,orthodox
Singapore,south.asia
Slovakia,catholic.europe
Slovenia,catholic.europe
South Africa,african.islamic
South Korea,confucian
Spain,catholic.europe
Sweden,protestant.europe
Switzerland,protestant.europe
Taiwan,confucian
Tanzania,african.islamic
Thailand,south.asia
Trinidad and Tobago,latin.america
Tunisia,african.islamic
Turkey,african.islamic
Uganda,african.islamic
Ukraine,orthodox
United States,english.speaking
Uruguay,latin.america
Uzbekistan,african.islamic
Venezuela,latin.america
Viet Nam,south.asia
Yemen,african.islamic
Zambia,african.islamic
Zimbabwe,african.islamic